Response,Var3,glide ligand efficiency sa,glide evdw,glide ecoul,glide emodel,glide energy,glide einternal,XP GScore,XP HBond,HOMO,LUMO,Lowest Frequency (cm-1),Highest Frequency (cm-1),2nd Lowest Frequency (cm-1),Var24,pZPE,Heat Capacity (cal/mol/K) 298.15K 1.00E+00atm,ln(Q) 298.15K 1.00E+00atm,Prime Coulomb,Prime Covalent,Prime vdW,Prime Solv GB,Prime Energy,Prime Bond Covalent,Prime Angle Covalent,Prime Angle SGB,Prime Torsion Covalent,Prime NB14 LJ,Prime NB14 Elec,Prime NB14 SGB,Prime NBShort LJ,Prime NBShort Lipo,Prime NBShort Elec,Prime NBShort SGB,Prime NBLong LJ,Prime NBLong SGB,Prime Self SGB,Prime Hbond,Prime Packing,Prime SelfCont,gridbox xcent,gridbox ycent,gridbox zcent,gridbox zrange,glide lipo,glide rewards,glide erotb,XP RotPenal,XP LipophilicEvdW,XP Electro,XP Sitemap,IFDScore,HOMO-1,LUMO-1,Zero Point Energy (kcal/mol)-1,"Enthalpy (kcal/mol, 298K)","Free Energy (kcal/mol, 298K)",Total Free Energy at 298.15K (au),X,Centralization,Eccentric connectivity,2-path Kier alpha-modified shape index,3-path Kier alpha-modified shape index,ALOGP10,Average valence connectivity index chi-0,Average valence connectivity index chi-4,Average valence connectivity index chi-5,Balaban-type index from van der waals weighted distance matrix,Balaban distance connectivity index,Connectivity index chi-2,Connectivity index chi-4,E-state topological parameter,Eccentric,First Mohar,First Zagreb index by valence vertex degrees,Global topological charge,Harary,Kier benzene-likeliness index,Kier flexibility,Maximal electrotopological negative variation,Maximal electrotopological positive variation,Mean Wiener,Modified Randic connectivity,Molecular electrotopological variation,Schultz Molecular Topological by valence vertex degrees,Solvation connectivity index chi-5,Valence connectivity index chi-0,Valence connectivity index chi-4,Valence connectivity index chi-5,Van der Waals surface area,Wiener-type index from mass weighted distance matrix,Wiener-type index from van der waals weighted distance matrix,MW,AlogP,Var148,PSA,Estate,Polar
1.245957613,-4.159,-1.013,-24.513,-24.836,-64.695,-49.349,6.889,-9.995,-5.836,-0.24734,-0.07945,29.245,3786.087,38.867,1399.183003,-3.145874521,105.521,55.824,-3757.35,709.47,-327.77,-355.62,-4079.9,61.269,304.913,-3206.256,343.29,494.43,3229.252,-2696.85,-786.266,-234.662,-6964.515,3227.086,-35.929,24.577,-5629.512,-84.82,-12.74,-16.42,-12.663,21.459,1.371,23.324,-1.427,-0.696,0.492,0.148,-2.37,-1.863,-0.161,-213.99,-0.36123,0.0165,277.541,15.484,-31.731,-1898.922914,89.23711,1500,745,8.60971038,4.07257982,128.0112605,0.54541936,0.05151608,0.02902566,1.15355735,1.39034077,13.77311739,9.81923853,86.40297061,1.58584807,182.2735588,508.4444444,0.48236571,127.1685703,0.95368751,6.05533326,5.07720121,5.82764977,5.87956989,103.7951459,64.58957871,21382.77778,8.69330097,16.90800026,4.58493155,3.16379693,423.58563,1873.564382,3291.783802,451.4503,-0.2463,0.567152695,172.61,86.25,49.056
0.817015033,-3.835,-1.004,-22.742,-21.625,-79.98,-44.366,0,-9.909,-6.074,-0.24147,-0.06951,-23.696,3850.609,7.02,575.5136324,-2.760055615,104.634,55.307,-3769.35,699.85,-325.22,-356.77,-4099.99,60.664,303.037,-3191.633,336.148,492.585,3243.467,-2731.774,-781.867,-231.722,-7015.204,3277.691,-35.938,-1.121,-5624.653,-84.58,-12.68,-19.52,-13.413,21.357,1.529,24.109,-0.965,-0.611,0.492,0.211,-2.491,-1.622,-0.014,-214.91,-0.37062,0.0059,279.207,14.866,-30.948,-1898.897808,23.6478,1489,802,8.60971038,4.19772016,128.0112605,0.54541936,0.05198762,0.02903324,1.1145238,1.30698579,13.85743705,9.67210895,84.9164207,1.74193548,187.5690323,508.4444444,0.49820214,124.9963398,0.95368751,6.05533326,5.02068645,5.71042934,6.2344086,103.685707,63.45910327,22629.11111,8.64905205,16.90800026,4.52292292,3.10655645,423.58563,1983.564382,3401.783802,451.4503,-0.2463,0.567152695,172.61,86.25,49.056
2.265520211,-5.14,-1.125,-31.185,-24.702,-83.687,-55.887,4.505,-11.105,-5.965,-0.22531,-0.05305,-9.22,3784.459,12.651,5.480341761,-0.738807642,104.94,55.783,-3761.65,687.24,-332.67,-366.06,-4124.73,60.771,301.357,-3232.48,325.116,488.52,3238.854,-2719.493,-784.843,-233.136,-6991.799,3270.58,-36.348,9.013,-5662.103,-84.91,-13.98,-19.57,-13.606,21.309,1.2,24.34,-1.245,-0.575,0.346,0.148,-3.228,-1.853,-0.208,-217.34,-0.30188,0.05509,284.295,14.612,-30.385,-1878.785731,7.23532,1489,802,8.60971038,4.19772016,128.0112605,0.5483791,0.05428269,0.03067547,1.20346488,1.30698579,13.85743705,9.67210895,86.93238529,1.74193548,187.5690323,488.4444444,0.49820214,124.9963398,0.96932728,6.05533326,4.77068645,5.82154046,6.2344086,103.2589303,60.96257198,22323.11111,8.64905205,16.99975197,4.72259363,3.28227516,426.9075224,2018.292325,3169.192515,450.4656,-0.7071,0.196290825,175.41,85.25,49.77
3.135607595,-4.472,-0.994,-25.53,-25.326,-72.842,-50.857,11.171,-9.382,-4.91,-0.26698,-0.06949,23.487,3815.133,28.692,1156.285043,-3.063064908,99.631,55.262,-3795.92,706.22,-328.88,-347.73,-4107.06,58.295,298.053,-3195.684,349.87,485.458,3244.436,-2731.031,-778.536,-230.08,-7027.338,3275.442,-35.799,12.056,-5613.409,-85.62,-9.02,-16.04,-12.781,20.181,2.409,23.238,-0.932,-0.73,0.521,0.223,-2.734,-1.899,-0.089,-214.73,-0.43446,0.00243,235.63,14.762,-31.06,-1943.989475,73.79022,1295,631,8.37768316,4.2923948,96.73496026,0.52946649,0.04872827,0.02679455,1.28380998,1.631549,13.02933054,8.5319703,112.849304,1.53626635,112.9043486,570.4444444,0.56190082,114.3869492,0.92933125,6.26228106,5.61877529,5.73019509,5.63054187,98.45539996,81.202577,19907.77778,7.44792538,15.35452813,3.70334887,2.41150933,396.8162175,1577.68381,2920.154237,437.3726,-0.7437,0.180426365,172.61,94.25,40.516
2.709965389,-4.735,-1.032,-28.45,-24.548,-73.379,-52.998,6.719,-9.743,-5.008,-0.26971,-0.06145,-4.817,3796.835,20.567,52.22129294,-1.71784762,98.615,54.603,-3770.49,694.42,-317.98,-361.93,-4099.66,58.465,296.773,-3226.848,339.184,484.28,3240.981,-2750.651,-766.651,-225.859,-7016.431,3306.516,-35.613,-4.3,-5668.394,-83.59,-14.66,-19.58,-12.719,19.256,2.225,23.681,-0.779,-0.684,0.521,0.156,-2.543,-2.491,-0.476,-214.73,-0.39676,0.04069,235.76,14.813,-31.307,-1944.02381,7.43865,1262,682,8.37768316,4.44175185,96.73496026,0.52946649,0.0492073,0.02675306,1.24052598,1.52943501,13.11365021,8.38484071,111.0610578,1.71462545,116.2177954,570.4444444,0.57935524,112.3664391,0.92933125,6.26228106,5.56226052,5.6528165,5.98275862,98.34596107,79.89786407,21090.11111,7.40367646,15.35452813,3.64134024,2.35426885,396.8162175,1673.017144,3015.48757,437.3726,-0.7437,0.180426365,172.61,94.25,40.516
4.001391971,-4.582,-0.971,-31.868,-17.43,-65.131,-49.298,8.597,-9.162,-4.58,-0.26847,-0.05794,18.246,3802.667,30.4,0.58614489,0.231995017,101.373,55.176,-3810.2,708.35,-327.77,-359.78,-4128.15,59.319,302.239,-3227.307,346.798,484.493,3249.583,-2733.204,-776.398,-228.156,-7029.252,3261.59,-35.869,29.856,-5645.812,-83.47,-10.75,-16.37,-12.954,21.121,1.458,22.284,-0.898,-0.784,0.523,0.224,-3.096,-1.307,-0.357,-215.57,-0.38224,0.0558,243.406,15.18,-31.697,-1924.151914,0.74904,1168,694,8.40517794,4.53498748,133.6382827,0.56791409,0.05603402,0.03288082,1.32872616,1.49561403,12.56844468,7.82362269,89.21443922,1.7755102,109.9989881,446.0493827,0.56342427,105.9652264,1.00526559,6.33599853,4.71949046,5.27577137,5.95238095,96.89845843,61.10239433,17096.71605,6.98332126,15.90159458,3.81031303,2.69622689,404.6849665,1576.017222,2540.167276,434.852,-0.9511,0.111918015,175.41,81.694,43.382
4.572027286,-4.743,-0.995,-26.147,-24.486,-74.181,-50.633,12.089,-9.394,-4.651,-0.25842,-0.07089,20.989,3797.485,23.805,957.7538965,-2.981253928,100.973,55.362,-3790.18,709.4,-332.26,-352.11,-4104.87,58.099,298.865,-3209.507,352.438,483.774,3229.906,-2715.179,-780.376,-229.901,-6996.664,3253.996,-35.66,22.621,-5626.645,-84.32,-9.37,-16.13,-12.65,20.558,2.322,23.876,-1.513,-0.891,0.523,0.224,-2.678,-1.836,-0.471,-214.64,-0.40044,0.03598,243.9,14.911,-31.134,-1924.155654,25.85224,1295,631,8.37768316,4.2923948,96.73496026,0.53263034,0.0513876,0.0287241,1.38544875,1.631549,13.02933054,8.5319703,115.0445257,1.53626635,112.9043486,550.4444444,0.56190082,114.3869492,0.94648454,6.26228106,5.36877529,5.77019509,5.63054187,98.02862326,79.65982882,19645.77778,7.44792538,15.44627984,3.9054578,2.58516929,400.1381099,1607.34011,2722.041519,436.3878,-1.2045,0.062445335,175.41,93.25,41.23
3.395449967,-4.793,-1.07,-31.812,-22.037,-81.606,-53.848,7.563,-10.562,-5.769,-0.23241,-0.05199,8.259,3797.221,17.618,1385.722415,-3.141676242,112.496,59.136,-3780.17,701.41,-344.34,-357.06,-4130.31,58.015,301.802,-3190.828,341.592,487.528,3225.365,-2712.259,-795.872,-233.941,-7001.646,3256.917,-35.998,5.566,-5617.825,-84.34,-12.38,-19.49,-13.319,22.045,1.743,25.204,-1.535,-0.644,0.567,0.17,-3.134,-1.653,-0.239,-217.08,-0.33556,0.0638,291.3,16.925,-33.294,-1973.980261,86.99128,1532,718,9.6631217,4.77898389,145.5867837,0.56177728,0.05072112,0.0283869,1.29284444,1.6450282,13.38947658,9.04738987,103.279722,1.58584807,128.3034133,546.4444444,0.53475466,125.5114275,0.94998818,7.3826646,5.23095121,5.72598311,5.91397849,105.4101169,69.87107275,21821.77778,8.03241092,17.41509577,4.10841106,2.78191648,453.134546,1899.274595,3527.91068,461.4436,-1.1875,0.064938163,191.07,89.25,45.642
3.000651931,-4.602,-1.073,-27.133,-24.253,-76.348,-51.386,5.935,-10.587,-5.985,-0.21883,-0.03695,9.573,3808.306,15.295,408.0921742,-2.610758267,112.606,59.554,-3786.84,702.22,-325.99,-364.97,-4116.3,59.088,301.245,-3236.578,341.886,486.152,3239.001,-2735.762,-775.861,-226.319,-7015.593,3286.166,-36.285,11.063,-5685.26,-84.19,-10.54,-19.67,-14.136,19.025,-0.329,27.339,-0.968,-0.577,0.567,0.17,-2.882,-1.819,-0.15,-216.4,-0.36288,0.04821,290.747,17.061,-33.459,-1973.979514,19.5348,1521,773,9.6631217,4.9343223,145.5867837,0.56177728,0.05122028,0.02838204,1.25104823,1.54612807,13.47379625,8.90026029,101.4806587,1.74193548,131.8875098,546.4444444,0.55049365,123.3391969,0.94998818,7.3826646,5.17443645,5.60876268,6.2688172,105.300678,68.71209741,23090.11111,7.98816201,17.41509577,4.04640244,2.724676,453.134546,2009.274595,3637.91068,461.4436,-1.1875,0.064938163,191.07,89.25,45.642
4.373044049,-3.502,-0.963,-35.823,-25.29,-66.725,-61.113,12.942,-9.499,-5.997,-0.21468,-0.04016,9.035,3781.758,23.238,234.8541946,-2.370798321,112.992,58.196,-3812.82,706.33,-330.64,-358.54,-4141.79,58.645,304.164,-3224.944,343.52,489.679,3224.128,-2697.432,-784.428,-232.704,-7025.678,3253.444,-35.888,10.699,-5636.773,-85.3,-11.85,-16.28,-14.792,24.599,1.22,26.803,-1.161,-0.795,0.399,0.171,-2.216,-1.897,-0.15,-216.59,-0.32022,0.08347,295.18,16.159,-31.809,-1953.951974,11.19362,1521,773,9.6631217,4.9343223,145.5867837,0.56473702,0.05368337,0.03017938,1.3455712,1.54612807,13.47379625,8.90026029,103.9933157,1.74193548,131.8875098,526.4444444,0.55049365,123.3391969,0.96610188,7.3826646,4.92443645,5.71987379,6.2688172,104.8739013,66.55445501,22784.11111,7.98816201,17.50684748,4.24098638,2.89722016,456.4564384,2044.002538,3405.319393,460.4589,-1.6483,0.022475016,193.87,88.25,46.356
